,q
678,5940.4
679,5787.4
680,5793.76
681,5823.4
682,6276.12
683,5940.4
684,6030.76
685,5798.12
686,6203.76
687,6057.12
688,5820.12
689,5994.4
690,5857.4
691,5648.4
692,6013.4
693,5821.4
694,5848.48
695,5784.4
696,5884.76
697,5958.4
698,5807.4
699,5805.4
700,5683.4
701,5930.4
702,5733.12
703,5686.4
704,5951.4
705,5947.76
706,5998.4
707,5951.76
708,5905.76
709,6088.76
710,5846.4
711,5584.4
712,5996.12
713,5809.4
714,5952.4
715,5823.4
716,5923.48
717,5853.76
718,5893.4
719,5541.4
720,6106.76
721,5805.4
722,5931.48
723,5949.4
724,6133.4
725,6069.84
726,5874.76
727,5722.4
728,5787.76
729,5694.4
730,5558.4
731,5736.4
732,5938.4
733,5610.4
734,5992.84
735,5573.4
736,6281.12
737,5864.4
738,6052.12
739,6233.4
740,5755.76
741,5948.4
742,5781.4
743,5799.4
744,6239.84
745,5635.4
746,5692.4
747,5700.76
748,5683.4
749,6185.4
750,6106.4
751,5749.76
752,6064.12
753,6114.4
754,5754.4
755,5745.12
756,5929.4
757,5964.4
758,5837.48
759,5853.12
760,5615.4
761,5783.4
762,5859.12
763,6233.84
764,6282.48
765,6014.4
766,5833.76
767,6550.2
768,5862.12
769,5676.76
770,5845.4
771,6343.4
772,5829.4
773,5826.4
774,5694.4
775,6000.4
776,6442.12
777,6115.76
778,5803.4
779,5983.12
780,5561.4
781,5600.4
782,6106.76
783,5982.4
784,5928.4
785,5897.4
786,5558.4
787,5652.4
788,5842.76
789,5847.76
790,5671.4
791,5954.4
792,5701.4
793,5690.4
794,5884.4
795,6100.84
796,6180.48
797,5969.76
798,6023.84
799,5729.76
800,6156.4
801,5572.4
802,5786.76
803,6056.12
804,6144.84
805,5809.4
806,5806.4
807,5684.76
808,5837.48
809,6166.48
810,6152.12
811,5949.4
812,5830.12
813,5602.4
814,5680.4
815,6294.4
816,6162.48
817,5654.76
818,6150.4
819,6048.76
820,5669.76
821,6109.12
822,5875.76
823,5769.4
824,5914.76
825,6099.4
826,5652.4
827,5873.48
828,6141.12
829,5540.4
830,6042.4
831,5900.4
832,5625.4
833,5763.76
834,5985.76
835,5569.4
836,5684.4
837,5627.4
838,6055.76
839,5914.76
840,5682.4
841,6219.4
842,5839.76
843,5890.76
844,5803.76
845,5834.12
846,5736.4
847,5832.76
848,5816.12
849,6237.12
850,5955.12
851,5807.4
852,5626.4
853,5561.4
854,6003.4
855,6095.48
856,5909.4
857,5664.4
858,5814.4
859,5568.4
860,5808.4
861,5880.12
862,6134.2
863,5882.4
864,5729.4
865,5887.76
866,6012.4
867,5795.4
868,6127.4
869,5712.4
870,6057.4
871,5806.4
872,5650.4
873,6189.12
874,5662.4
875,5843.4
876,6162.4
877,5562.4
878,6010.76
879,5743.76
880,5550.4
881,5896.12
882,5767.76
883,5671.76
884,5604.4
885,5818.4
886,6059.76
887,5680.4
888,5678.4
889,6069.84
890,6135.76
891,5708.4
892,5953.4
893,5987.76
894,5657.76
895,5937.4
896,5899.4
897,5854.76
898,6009.12
899,5666.4
900,5953.48
901,5833.4
902,5786.76
903,5660.4
904,6003.12
905,5554.4
906,5956.4
907,6109.48
908,6015.4
909,5926.4
910,5881.76
911,5771.76
912,5749.12
913,6344.4
914,6001.76
915,5705.4
916,5973.4
917,5983.76
918,5780.4
919,5990.76
920,6309.76
921,5857.76
922,6019.76
923,5670.4
924,5785.4
925,5845.4
926,5804.4
927,5592.4
928,5793.76
929,6054.12
930,5750.4
931,5973.4
932,5644.76
933,6087.76
934,5801.76
935,5855.76
936,5989.76
937,6034.12
938,5954.12
939,6002.76
940,6129.84
941,6129.84
942,5864.4
943,5823.76
944,5896.76
945,6027.4
946,5792.4
947,5781.4
948,5984.12
949,5829.4
950,6121.76
951,5657.4
952,6107.76
953,5876.4
954,5959.4
955,5710.76
956,5604.4
957,5650.4
958,6027.2
959,5810.12
960,5793.4
961,5924.4
962,5893.4
963,6019.76
964,5786.4
965,6082.12
966,5670.4
967,5878.4
968,5816.76
969,5746.4
970,5873.12
971,5560.4
972,5808.4
973,5841.76
974,5731.4
975,6088.4
976,5760.4
977,5587.4
978,5841.76
979,6036.76
980,5849.12
981,5925.4
982,6110.76
983,5743.4
984,5738.76
985,6076.4
986,5757.4
987,5749.4
988,6029.48
989,6096.76
990,6010.76
991,5723.76
992,6282.84
993,5914.4
994,6004.4
995,5893.4
996,5876.12
997,6147.48
998,5658.4
999,5677.4
1000,6146.76
1001,5979.4
1002,5576.4
1003,5684.4
1004,5947.48
1005,5853.4
1006,6191.12
1007,5982.4
1008,5898.4
1009,5576.4
1010,5703.4
1011,5663.4
1012,6425.84
1013,5829.76
1014,5860.4
1015,5805.4
1016,5591.4
1017,5977.76
1018,5772.76
1019,5638.4
1020,6168.84
1021,6251.12
1022,6086.4
1023,5796.76
1024,6085.4
1025,6078.76
1026,6100.12
1027,6150.76
1028,5707.4
1029,5966.4
1030,6132.2
1031,5671.4
1032,6271.76
1033,5682.76
1034,6281.12
1035,5871.48
1036,5823.4
1037,5952.4
1038,6251.84
1039,5572.4
1040,5637.4
1041,5824.4
1042,6000.4
1043,5761.12
1044,5827.4
1045,6298.84
1046,6012.4
1047,5500.4
1048,6141.12
1049,5793.4
1050,5633.76
1051,5741.76
1052,5675.4
1053,5915.4
1054,6043.48
1055,5887.4
1056,5987.4
1057,6079.76
1058,6306.4
1059,5805.4
1060,5857.12
1061,5887.84
1062,5907.4
1063,5813.4
1064,5861.4
1065,5712.76
1066,6036.4
1067,5777.4
1068,5880.4
1069,6257.12
1070,6075.4
1071,6233.4
1072,5783.4
1073,6089.76
1074,5874.4
1075,5999.76
1076,6110.4
1077,5626.4
1078,5845.4
1079,5545.4
1080,6073.4
1081,6299.56
1082,6243.12
1083,6161.12
1084,5745.4
1085,6067.48
1086,5693.76
1087,5625.4
1088,5774.12
1089,6133.76
1090,5760.12
1091,5573.4
1092,6185.4
1093,5877.4
1094,6109.76
1095,5905.4
1096,6242.4
1097,6053.4
1098,5935.12
1099,5812.12
1100,5905.4
1101,5957.12
1102,5720.76
1103,6151.12
1104,5981.76
1105,5941.4
1106,5716.4
1107,5773.4
1108,5763.4
1109,5985.4
1110,5874.48
1111,6034.76
1112,5619.4
1113,5876.4
1114,6218.4
1115,5728.76
1116,6083.4
1117,5957.4
1118,5758.76
1119,6080.12
1120,5901.4
1121,5857.76
1122,6006.48
1123,5880.76
1124,5758.76
1125,6154.76
1126,5866.12
1127,5815.76
1128,5892.4
1129,5812.4
1130,5854.4
1131,5812.4
1132,5853.4
1133,5673.4
1134,6002.76
1135,5840.76
1136,5959.12
1137,5913.12
1138,5916.76
1139,5992.76
1140,5654.4
1141,5953.4
1142,6122.4
1143,5729.12
1144,5792.4
1145,6104.12
1146,5973.4
1147,5606.4
1148,5647.4
1149,5923.4
1150,5809.4
1151,5900.4
1152,5695.4
1153,6175.12
1154,5994.4
1155,5948.76
1156,5809.4
1157,5984.76
1158,5556.4
1159,6109.4
1160,5922.12
1161,5955.76
1162,5964.4
1163,5840.4
1164,5937.4
1165,5713.76
1166,5842.48
1167,5819.4
1168,5749.12
1169,5698.4
1170,5977.4
1171,5613.4
1172,5642.4
1173,5891.76
1174,5705.4
1175,5986.12
1176,5892.4
1177,5598.4
1178,5676.4
1179,5898.76
1180,5981.12
1181,6032.76
1182,5894.76
1183,5723.76
1184,5966.76
1185,6089.12
1186,6067.76
1187,6191.4
1188,6010.4
1189,5717.4
1190,5940.4
1191,5967.4
1192,6220.76
1193,6007.4
1194,6017.4
1195,5570.4
1196,5701.76
1197,5839.4
1198,6280.12
1199,6060.4
1200,5627.4
1201,5795.4
1202,6082.12
1203,6013.76
1204,5872.4
1205,5729.4
1206,5668.4
1207,6189.76
1208,5738.4
1209,5903.4
1210,5576.4
1211,5897.4
1212,5868.4
1213,5850.12
1214,5984.76
1215,5678.4
1216,5713.4
1217,6110.76
1218,6032.48
1219,5812.4
1220,6024.4
1221,5878.4
1222,5903.12
1223,5686.4
1224,5886.48
1225,5866.4
1226,5894.76
1227,5796.4
1228,6005.76
1229,6031.12
1230,6048.12
1231,5847.4
1232,6068.12
1233,5966.4
1234,6034.76
1235,5761.4
1236,5551.4
1237,6032.4
1238,6064.48
1239,5670.4
1240,6010.76
1241,5723.76
1242,6019.84
1243,5736.76
1244,5768.4
1245,5722.4
1246,6085.4
1247,5934.4
1248,5884.48
1249,5810.76
1250,5776.4
1251,5805.12
1252,6177.12
1253,5703.4
1254,5801.4
1255,5893.76
1256,5786.4
1257,5880.4
1258,5990.4
1259,5759.4
1260,5931.4
1261,5868.4
1262,5882.48
1263,6042.4
1264,5732.4
1265,5690.4
1266,5633.4
1267,5858.4
1268,5721.4
1269,5818.48
1270,6192.4
1271,6034.4
1272,5903.4
1273,5954.12
1274,6099.48
1275,6045.12
1276,5993.76
1277,5700.4
1278,6203.4
1279,5755.76
1280,5853.76
1281,6060.76
1282,5987.76
1283,5606.4
1284,6287.48
1285,5660.4
1286,5796.76
1287,5711.76
1288,5779.4
1289,5897.4
1290,6060.76
1291,5913.4
1292,5996.4
1293,5581.4
1294,6108.4
1295,5848.76
1296,6085.76
1297,5796.12
1298,6241.4
1299,5728.4
1300,5537.4
1301,5849.12
1302,6177.12
1303,5914.4
1304,5579.4
1305,5934.76
1306,5666.4
1307,5922.76
1308,5884.76
1309,5800.76
1310,5832.48
1311,5749.12
1312,5743.76
1313,5868.4
1314,6090.12
1315,5799.4
1316,5969.76
1317,5783.4
1318,6179.76
1319,5701.4
1320,6092.76
1321,5877.76
1322,5711.76
1323,5864.4
1324,6016.76
1325,6362.12
1326,5931.4
1327,5677.4
1328,5884.4
1329,5797.4
1330,6137.76
1331,5737.4
1332,5838.4
1333,6098.76
1334,5911.76
1335,5549.4
1336,5739.76
1337,6019.4
1338,6156.12
1339,5681.76
1340,5989.12
1341,5851.4
1342,5849.48
1343,5613.4
1344,5871.4
1345,6312.2
1346,5848.4
1347,5660.76
1348,5991.76
1349,5744.4
1350,5832.76
1351,5596.76
1352,5999.76
1353,5696.4
1354,5628.4
1355,6028.4
1356,5905.4
1357,6291.48
1358,5849.4
1359,5838.4
1360,5916.4
1361,5514.4
1362,5774.4
1363,5795.76
1364,5707.12
1365,5938.4
1366,5652.4
1367,5827.12
1368,5831.4
1369,5913.4
1370,5647.4
1371,5941.4
1372,5906.4
1373,5851.12
1374,5541.4
1375,5989.4
1376,5959.4
1377,5768.76
1378,5970.76
1379,6087.4
1380,5719.4
1381,5954.4
1382,5707.4
1383,5920.76
1384,6234.76
1385,5820.4
1386,5618.4
1387,6128.4
1388,5708.4
1389,6145.76
1390,5857.4
1391,6070.76
1392,5760.4
1393,6022.4
1394,6095.76
1395,5686.76
1396,5890.76
1397,5992.48
1398,5855.4
1399,5833.4
1400,5806.4
1401,5897.76
1402,5801.4
1403,5947.76
1404,6041.4
1405,5674.4
1406,5824.76
1407,5653.76
1408,6015.4
1409,5923.76
1410,5726.76
1411,5727.4
1412,5920.4
1413,5671.4
1414,6015.48
1415,6106.76
1416,5681.76
1417,5792.4
1418,6269.12
1419,5894.76
1420,5827.4
1421,6198.4
1422,5981.12
1423,5588.4
1424,5977.48
1425,5740.4
1426,5789.4
1427,5689.4
1428,5858.48
1429,5820.76
1430,5923.76
1431,6077.48
1432,6043.4
1433,5859.4
1434,5686.4
1435,5970.4
1436,6124.84
1437,5755.4
1438,5567.4
1439,5677.4
1440,5607.4
1441,5683.4
1442,5784.4
1443,5876.76
1444,5862.4
1445,5829.76
1446,5771.12
1447,5993.4
1448,5880.76
1449,6109.4
1450,5837.76
1451,6230.48
1452,5586.4
1453,5785.4
1454,6272.12
1455,6065.4
1456,5643.4
1457,6172.12
1458,5844.4
1459,5600.4
1460,5910.4
1461,5942.84
1462,5784.4
1463,6363.76
1464,5902.4
1465,5537.4
1466,5774.4
1467,5850.12
1468,6072.4
1469,5943.4
1470,5781.4
1471,6046.12
1472,5863.76
1473,5863.76
1474,5904.4
1475,6128.48
1476,5978.76
1477,5797.4
1478,6057.12
1479,5939.48
1480,6131.76
1481,5940.4
1482,5896.4
1483,5544.4
1484,5894.4
1485,5891.76
1486,5795.4
1487,5868.76
1488,6019.48
1489,6029.12
1490,5854.4
1491,6149.84
1492,5781.4
1493,5700.4
1494,5934.48
1495,5881.4
1496,5906.4
1497,5690.4
1498,5885.4
1499,5773.4
1500,5987.76
1501,5575.4
1502,5764.4
1503,5852.76
1504,5805.12
